n,best,average,worst
1,6,6,6
5001,35012,131024190,175069642
10001,70012,525125637,700138634
15001,105012,1182905657,1575206856
20001,140012,2101000679,2800274896
25001,175012,3280959271,4375342054
30001,210012,4725029099,6300408890
35001,245012,6429889511,8575474788
40001,280012,8399614855,11200540763
45001,315012,10623631460,14175605695
50001,350012,13126395255,17500669850
55001,385012,15878918148,21175733438
60001,420012,18895200978,25200796074
65001,455012,22182336198,29575858185
70001,490012,25718639256,34300919512
75001,525012,29540523652,39375980811
80001,560012,32952242791,43926042530
85001,595012,36499469899,48651104084
90001,630012,40046697007,53376165638
95001,665012,43593924115,58101227191
100001,700012,47141151223,62826288745
105001,735012,50688378331,67551350299
110001,770012,54235605439,72276411853
115001,805012,57782832547,77001473407
120001,840012,61330059655,81726534960
125001,875012,64877286763,86451596514
130001,910012,68424513871,91176658068
135001,945012,71971740979,95901719622
140001,980012,75518968087,100626781175
142301,1015012,79066195195,105351842729
