n,best,average,worst
1,4,4,4
5001,70004,62463424,125064796
10001,140004,249880688,500129082
15001,210004,561390200,1125192772
20001,280004,1002410364,2000256574
25001,350004,1564186908,3125319512
30001,420004,2251154798,4500382518
35001,490004,3065890722,6125444658
40001,560004,4002094346,8000507088
45001,630004,5060267127,10125568562
50001,700004,6249975589,12500629286
55001,770004,7556331628,15125689476
60001,840004,8997474884,18000748810
65001,910004,10558560131,21125807652
70001,980004,12253483007,24500865812
75001,1050004,14046826765,28125924160
80001,1120004,15993738362,32000980942
85001,1190004,18058266333,36126038264
90001,1260004,20234941056,40501095698
95001,1330004,22594924643,45126151686
100001,1400004,24972103431,50001206772
105001,1470004,27546099670,55126262996
110001,1540004,30292829913,60501316340
115001,1610004,33061218059,66126369074
120001,1680004,35982315913,72001421412
125001,1750004,39073678491,78126471124
130001,1820004,42293311252,84501522788
135001,1890004,45575912511,91126575174
140001,1960004,49004922982,98001630264
142301,1992204,50637422687,101248108106
