n,best,average,worst
1,1,7,12
5001,592180,3902457,7164408
10001,8401871,15761485,23029542
15001,25283137,36577872,47810035
20001,50467689,66039152,81923262
25001,85599998,105510529,125640798
30001,129916878,154180250,178593098
35001,183718923,212912789,241442071
40001,247042924,280311821,313229853
45001,320038629,358377563,397037492
50001,404701740,447757301,491024705
55001,499270746,547800450,595530446
60001,605321945,658367787,711171295
65001,721365817,778827255,835406043
70001,846318871,907577743,968748825
75001,980902735,1046871888,1113009031
80001,1125960202,1196534190,1267998235
85001,1281575433,1356592873,1432339635
90001,1446246288,1526022344,1606653101
95001,1622575296,1707802861,1795101397
100001,1810852863,1901408255,1992088638
105001,2009868968,2105766810,2204538216
110001,2222442268,2321332914,2421194239
115001,2440158216,2547031168,2653976421
120001,2673877231,2785525436,2895963070
125001,2916927848,3032269050,3148061135
130001,3169495967,3288961463,3410136480
135001,3433183435,3560799135,3688009851
140001,3713558390,3844928015,3976926589
142301,4001224341,4133922391,4266373476
